Waktu,Data,Sentiment
9/5/2021 0:31,"Selamat pagi , bisa saja mereka minum kopi , Mereka dengan sengaja memanfaatkan aplikasi peduli lindungi",neutral
9/17/2021 12:48,Sosialisasi aplikasi Peduli Lindungi SATUAN LALU LINTAS POLRES PESISIR SELATAN #tmc polda metro,neutral
9/18/2021 1:44,"saya kan kemarin mendaftarkan orang tua saya vaksin di Peduli Lindungi, sekarang status nya seperti ini, terus langkah selanjutnya harus gimana ya?",neutral
9/22/2021 5:43,aplikasi peduli lindungi soalnya ada kata melindungi kamu,positive
9/17/2021 2:27,"Data Nomor Induk Kependudukan Tidak ditemukan di Peduli Lindungi, Hubungi Satu Data Vaksinasi di Pusat Telepon: Hot line Peduli Lindungi",negative
9/16/2021 5:23,Berantakannya aplikasi peduli lindungi ,negative
9/9/2021 7:23,ini saya kalau mau masuk pakai scan barcode aplikasi peduli lindungi pasti begini terus. ada yang tahu kenapa?,neutral
9/4/2021 9:55,Intinya sebenarnya mereka semua ASN harus punya aplikasi peduli lindungi. Nanti kita Mintakan ke Kementrian Kesehatan QR code- nya,positive
9/21/2021 11:37,kawan kalau ke mall masih harus pakai aplikasi peduli lindungi?,neutral
9/21/2021 22:01,Nanti masuk Universitas Padjajaran harus scan Peduli Lindungi tidak?,neutral
9/7/2021 14:32,Peduli Lindungi Jadi Syarat Pemeriksaan untuk Memasuki Tempat Umum,positive
9/18/2021 1:53,"Mulai 14 September, jika ingin ke supermarket dan hypermart wajib menggunakan aplikasi peduli lindungi.",positive
9/16/2021 5:35,riwayat perjalanan di aplikasi peduli lindungi ini yang bisa lihat kita pribadi saja kan ya? saya takut deh soalnya.,negative
9/18/2021 8:41,"sekolah sudah offline, mall, tempat wisata, dan lain- lain sudah boleh dikunjungi selagi scan barcode dari Peduli Lindungi. Saya kemarin sudah coba ka",positive
9/19/2021 9:30,"Maaf ikutan, mau tanya dong kalau misal akun vaksin Peduli Lindungi kalian dibuat sama nomor ibu gimana?",neutral
9/3/2021 22:37,Tolong bantu ibu lihat sertifikat vaksin di Peduli Lindungi…,neutral
9/18/2021 11:25,Warga satu saudara di Banten sudah Di Vaksinasi??? - Kok Data di kartu vaksinasi Ada Yang Salah??? Nanti salah juga dong di Peduli Lindunginya?,negative
9/18/2021 3:56,"ini saya sudah vaksin dari tanggal 24 agustus, tapi baru periksa Peduli Lindungi sekarang langsung ada serifikat",positive
9/21/2021 10:38,"maaf ikutan, tapi saya tidak dapat sertifikat dari Peduli Lindungi soalnya Nomor Induk Kependudukan dipakai orang lain: bawa kartu vaksin saja bisa tidak ya?",negative
9/18/2021 10:08,maaf ibu kalau ingin masuk supermarket harus menunjukan aplikasi Peduli Lindungi ya. . . Saya tidak mengunduh peduli lindungi tidak bisa masuk,negative
9/21/2021 16:27,"Kalau yang dimaksud mirota kampus iya, tapi temanku kemarin hanya menunjukan sertifikat saja bisa saya tanpa scan di aplikasi peduli lindungi",positive
9/19/2021 21:47,Salah fokus itu Logo Peduli Lindungi benar benar seperti kenal pada aplikasi lain,neutral
9/16/2021 23:45,"Semangat pak. . . Semoga bapak selalu sehat walafiat, saya selalu menDoakan semua orang yang peduli",positive
9/17/2021 14:52,"Dek. . Pertanyanku sederhana saja, 270+ juta penduduk Indonesia. Haruskah mempunyai ? aplikasi peduli lindungi",neutral
9/16/2021 0:36,Banyak yang bilang ini aplikasi belum terdaftar di playstore. Iya ?,neutral
9/16/2021 7:59,buka aplikasi peduli lindungi- lindungi sambil dengarkan intro Club Foot. begitu masuk lirik pertama ada tulisan negatif langsung keluar,negative
9/8/2021 0:44,Coba lihat whatsapp kamu Coba lihat Riwayat perjalanan di aplikasi peduli lindungi kamu,neutral
9/21/2021 10:35,"Dari aplikasi saja datanya masih banyak yang eror , kok dijadikan syarat ini itu. Belum lagi yang karena alasan tidak dapat masuk ke aplikasi peduli lindungi",negative
9/18/2021 14:21,"Eh main dong tapi jangan ke tempat yang pakai sertifikat vaksin sama Peduli Lindungi, malas banget mohon maaf jangan suka menyusahkan orang lain",negative
9/19/2021 4:56,Ini perasaan saja apa bagaimana sih ya aplikasi peduli lindungi menguras baterai saya cepat sekali :) ,negative
9/22/2021 7:08,kamu unduh apaan sih itu? Peduli Lindungi saya kurang peduli ya? maaf ya sudah saya unduh aplikasi lain saja ,negative
9/19/2021 0:40,Kode OTP Peduli Lindungi ko Tidak bisa masuk sih? Kesal banget :),negative
9/4/2021 3:11,Mulai hari ini masuk kantor pakai Peduli Lindungi ya saya: aplikasi apaan lagi ini yang dihapus supaya memorinya cukup,negative
9/18/2021 5:07,pergi ke mall yuk saya Tidak punya aplikasi peduli lindungi ya unduh memori penuh *ya sudah sih bilang saja Tidak mau,negative
9/6/2021 12:06,"Peduli Lindungi biasa saja padahal, tapi saya kesal sama namanya dimana2 peduli lingkungan, peduli di fabel, ini Peduli Lindungi woi",negative
9/4/2021 4:31,pemerintah Menjamin keamanan aplikasi peduli lindungi,positive
9/22/2021 13:56,Pertama dengar yuk Peduli Lindungi aplikasi covid itu. Saat mau ke mall harus pasang dong itu aplikasinya. Ketika pasang malah tidak bisa di pakai,negative
9/19/2021 23:02,"Punya akun Peduli Lindungi, kak?",neutral
9/21/2021 0:45,sayang kamu lagi unduh apa? Peduli Lindungi. memang saya kurang peduli? bukan gitu sayang… kita putus :),negative
9/16/2021 7:51,"Sebel ya, ke Mall ingin betulkan ponsel satu - satunya. . . masuk saja harus scan barcode aplikasi peduli lindungi. . gimana saya mau scan tolong ponselnya saja mati total",negative
9/18/2021 2:56,Sehun lagi apa ya ??? Lagi pegel tangannya ya? demam tidak ya? flu juga tidak ya ??? sertifikat vaksin nya kira2 sudah dapat belum ya,negative
9/16/2021 10:51,"sudah mulai apa apa pakai aplikasi peduli lindungi ya, ponsel saya tidak cukup untuk mengunduh aplikasi lagi pak :)",negative
9/16/2021 7:17,tidak PEDULI tidak di LINDUNGI :(,negative
9/7/2021 1:30,#AP2 Kawan. . . Ada yang sudah pernah melakukan scan barcode melalui Peduli Lindungi ke tempat publik?,neutral
9/7/2021 14:56,#Batalkan kartu vaksin Bagaimana Dengan berita sertifikat Vaksin Asli tapi palsu yang beredar di masyarakat.,negative
9/8/2021 11:31,#batalkan kartu vaksin! sertifikat saja / pakai aplikasi peduli lindungi seperti masuk mall? Siapa peduli di lindungi?,neutral
9/22/2021 0:48,"#informasi Kuliner Ingin Menikmati Festival Kuliner, Jangan Lupa Pakai aplikasi peduli lindungi",positive
9/7/2021 5:48,"#Integrasi KAI Peduli Lindungi Sobat BUMN, PT Kereta Api Indonesia bersama Kementerian Kesehatan telah melakukan sosialisasi vaksin dan penggunaan aplikasi peduli lindungi",neutral
9/6/2021 12:08,KAI Commuter: Terjadi Peningkatan Penumpang Saat Uji Coba Penerapan aplikasi peduli lindungi,positive
9/8/2021 2:36,#pasuruan news diperbarui Dinas Pariwisata dan Kebudayan Kabupaten Pasuruan meminta seluruh tempat wisata yang akan berkunjung untuk menggunakan aplikasi peduli lindungi,positive
9/19/2021 3:50,#Peduli Lindungi Beredarnya sertifikat ini disebut Usman terjadi karena ada salah guna data presiden tanpa izin,negative
9/4/2021 3:55,#Peduli Lindungi mohon di respon dong emailnya. Sertifikat vaksin kedua belum ada di aplikasi peduli lindungi padahal sudah divaksin,negative
9/4/2021 3:20,"#Peduli Lindungi Aman aplikasi peduli lindungi sebenarnya aman, mengenai kabar yang tersebar mengenai sertifikat Vaksin juga sudah diatasi",positive
9/7/2021 1:00,#Peduli Lindungi Aman Seperti yang di sampaikan oleh Menteri kesehatan dan Kominfo Bahwa Kebocoran Data Nomor Induk Kependudukan Presiden Jokowi bukan data asli,positive
9/7/2021 1:30,#Peduli Lindungi Tidak Bocor Data masyarakat di aplikasi peduli lindungi dinyatakan aman oleh kementrian kesehatan.,positive
9/7/2021 1:01,"#Peduli Lindungi Tidak Bocor Hingga saat ini, TIDAK ADA bukti kebocoran data pribadi di aplikasi peduli lindungi",positive
9/7/2021 1:00,#Peduli Lindungi Tidak Bocor aplikasi peduli lindungi aman digunakan,positive
9/7/2021 2:00,#Peduli Lindungi Tidak Bocor Ayo. . . masyarakat untuk tetap menggunakan aplikasi peduli lindungi karena data pribadi tidak disebar luaskan,positive
9/7/2021 1:00,"#Peduli Lindungi Tidak Bocor Dengan masukkan Nomor Induk Kependudukan , tanggal vaksin dan jenis vaksin bisa cari di berdasarkan wilayah",positive
9/7/2021 1:00,#Peduli Lindungi Tidak Bocor Intinya pemerintah tidak mau mempersulit masyarakat. Kita tetap melindungi data masyarakat,positive
9/18/2021 12:24,#Peduli Lindungi Tidak Bocor sudah dipastikan tidak ada kebocoran data di aplikasi peduli lindungi. Ayo perbarui aplikasi Peduli Lindungi,positive
9/18/2021 1:06,"#Pemulihan Ekonomi Sumatera Selatan Abis periksa aplikasi, tapi kok, Tidak terhubung di kolom tanggal lahir? Peduli Lindungi",neutral
9/20/2021 8:43,#Promotor Tidak Terikat #program Mengikuti Kembali Ini dia. . informasi Peduli Lindungi informasi pribadi. .,neutral
9/7/2021 5:29,#Sahabat SIG PT Kereta Api Indonesia (Persero) bersama Kementerian Kesehatan telah mengintegrasikan aplikasi peduli lindungi,neutral
9/20/2021 23:20,"#Sobat Aviasi sebelum kamu melakukan perjalanan maupun ke ruang publik, pastikan kamu melakukan pengecekan di aplikasi peduli lindungi terlebih dahulu",neutral
9/10/2021 0:00,"#Sobat BUMN, PT Kereta Api Indonesia (Persero) bersama Kementerian Kesehatan telah mengintegrasikan aplikasi peduli lindungi",neutral
9/16/2021 9:50,#Vaksin Selamatkan Rakyat Kartu vaksin dapat diakses melalui aplikasi peduli lindungi,positive
9/7/2021 8:43,apakah berkunjung ke kamu perlu aplikasi peduli lindungi ?,neutral
9/4/2021 1:49,Kewajiban saat vaksin: 3. Memiliki aplikasi peduli lindungi sebelum memasuki area Senayan City untuk scan QR Code,neutral
9/16/2021 7:05,*abang saya masuk kamar* Tolong unduh aplikasi pelindung diri dong di Ponsel… kata saya gimana? aplikasi untuk apaan itu,neutral
9/5/2021 2:46,"*belum di baca lagi sama Peduli Lindungi, kalau email pertamanya sudah",negative
9/10/2021 6:06,*POLSEK MAGELANG UTARA POLRES MAGELANG KOTA* *SOSIALISASI aplikasi peduli lindungi DAN PENDISIPLINAN PROTOKOL KESEHATAN,neutral
9/22/2021 11:02,Peduli Lindungi eror terus. Akhirnya pasang wallpaper sertifikat vaksin saja lah,negative
9/22/2021 7:42,"Video yang saya lihat dia bilang kalau orang yang tidak punya Peduli Lindungi dilarang masuk , benar Tidak ya ?",neutral
9/17/2021 5:49,Di Peduli Lindungi kalau belum ada sabar dulu saya juga nunggu sampai vaksin ke dua baru dapat,negative
9/22/2021 3:57,"sudah penuh gitu, sebenarnya yang dicari sertifikatnya, malah Tidak ada di Peduli Lindungi, hancur deh. . . . Nasib",negative
9/18/2021 0:44,Buka kok hanya masuknya harus pakai Peduli Lindungi,positive
9/17/2021 22:54,Posisi kita sudah diawasi 24 jam. Matikan saja aplikasi peduli lindungi,negative
9/16/2021 15:43,Dikit2 lindungi peduli. . Eh kebalik. . ,neutral
9/22/2021 5:57,Hanya kartu tanda penduduk sama kartu vaksin/ aplikasi peduli lindungi,positive
9/17/2021 8:38,"Namun, wajib menggunakan aplikasi peduli lindungi yang terdapat data vaksin minimal dosis pertama",positive
9/17/2021 6:32,"Bedanya kita bisa pilih makanan supaya tidak keracunan, seperti aplikasi Peduli Lindungi tidak ada pilihan lain",negative
9/5/2021 0:02,Kami sampaikan untuk saat ini bagi calon pengguna jasa yang ingin naik Kereta diwajibkan Menunjukan sertifikat vaksin minimal dosis 1,positive
9/16/2021 15:40,buat masuk pusat perbelanjaan wajib buka aplikasi peduli lindungi Karena yang dibutuhkan bukan sertifikatnya saja,positive
9/16/2021 9:52,"Eh saya juga seperti ini, tapi saat masukan Nomor Induk Kependudukan sama nama untuk periksa sertifikat vaksin di Peduli Lindungi keluar datanya milik orang lain",neutral
9/16/2021 8:55,kalau saya tidak bawa apa2 cukup scan dari Peduli Lindungi saja,positive
9/21/2021 19:19,Tunjukan sertifikat vaksin saja kak di Peduli Lindungi,positive
9/21/2021 12:42,Iya Kereta nanti ambil di Peduli Lindungi pakai nomor ponsel yang terdaftar saat vaksin itu supaya muncul sertifikat nya,positive
9/22/2021 2:23,Kalau di pusat kesahatan masyarakat dicetak langsung kalau tidak bisa periksa di Peduli Lindungi,neutral
9/17/2021 10:46,peduli lindungi Kereta saya paginya vaksin sore sudah ada di aplikasi peduli lindungi kok,positive
9/22/2021 2:10,kamu sudah coba betulkan ke Peduli Lindungi gitu apa belum? kalau saya Nomor Induk Kependudukan nya dipakai orang lain,negative
9/20/2021 14:56,"Iya. . . tapi disini cukup menunjukan bukti vaksin ka, tidak pakai aplikasi peduli lindungi. . . mereka juga tidak mau lah sepi pengunjung…",negative
9/21/2021 0:20,Peduli Lindungi kali kok pelindung diri,negative
9/7/2021 11:18,Yuk unduh aplikasi peduli lindungi dari situs resmi untuk menghindari kebocoran data pribadi,positive
9/19/2021 2:16,Bayangkan kalau tidak terdeteksi pasti akan ada jenis baru. Itu gunanya unduh aplikasi peduli lindungi,positive
9/19/2021 2:11,Itulah kenapa kita harus mengunduh aplikasi peduli lindungi,positive
9/19/2021 2:22,Kabar baik tentunya untuk kita semuanya karena aplikasi peduli lindungi terus dalam perbaikan,positive
9/19/2021 1:58,Suatu terobosan yang bagus dari pemerintah dalam mengatasi menyebaran virus dengan pakai aplikasi peduli lindungi,positive
9/3/2021 15:09,Dengan aplikasi peduli lindungi di sana tercantum jelas kok bahwa data yang terkumpul aman,positive
9/10/2021 21:51,Dipastikan aplikasi peduli lindungi aman ya teman - teman,positive
9/18/2021 1:48,Jaga keamanan data pribadi dengan tidak mengunduh aplikasi peduli lindungi dari link yang tidak terpercaya,positive
9/19/2021 2:15,Tetap terfasilitasi melalui Peduli Lindungi,positive
9/19/2021 2:10,"Anak bangsa kita juga banyak banget yang pandai digital, dan aplikasi peduli lindungi salah satunya karya anak bangsa",positive
9/19/2021 2:26,"Anak bangsa kita patut diapresiasi karena sudah membuat aplikasi peduli lindungi, bukan untuk bahan olokan",positive
9/19/2021 2:21,"Jangan langsung mempercayai apapun tanpa di periksa ulang terlebih dahulu, yang benar aplikasi peduli lindungi. ",positive
