Waktu,Data,data_tokens,data_tokens_stopwords,data_tokens_stemmed,data_preprocessed,Sentiment
9/5/2021 0:31,selamat pagi bisa saja mereka minum kopi mereka dengan sengaja memanfaatkan aplikasi peduli lindungi,"['selamat', 'pagi', 'bisa', 'saja', 'mereka', 'minum', 'kopi', 'mereka', 'dengan', 'sengaja', 'memanfaatkan', 'aplikasi', 'peduli', 'lindungi']","['selamat', 'pagi', 'minum', 'kopi', 'sengaja', 'memanfaatkan', 'aplikasi', 'peduli', 'lindungi']","['selamat', 'pagi', 'minum', 'kopi', 'sengaja', 'manfaat', 'aplikasi', 'peduli', 'lindung']","['selamat', 'pagi', 'minum', 'kopi', 'sengaja', 'manfaat', 'aplikasi', 'peduli', 'lindung']",neutral
9/17/2021 12:48,sosialisasi aplikasi peduli lindungi satuan lalu lintas polres pesisir selatan polda metro,"['sosialisasi', 'aplikasi', 'peduli', 'lindungi', 'satuan', 'lalu', 'lintas', 'polres', 'pesisir', 'selatan', 'polda', 'metro']","['sosialisasi', 'aplikasi', 'peduli', 'lindungi', 'satuan', 'lintas', 'polres', 'pesisir', 'selatan', 'polda', 'metro']","['sosialisasi', 'aplikasi', 'peduli', 'lindung', 'satu', 'lintas', 'polres', 'pesisir', 'selatan', 'polda', 'metro']","['sosialisasi', 'aplikasi', 'peduli', 'lindung', 'satu', 'lintas', 'polres', 'pesisir', 'selatan', 'polda', 'metro']",neutral
9/18/2021 1:44,saya kan kemarin mendaftarkan orang tua saya vaksin di peduli lindungi sekarang status nya seperti ini terus langkah selanjutnya harus gimana ya,"['saya', 'kan', 'kemarin', 'mendaftarkan', 'orang', 'tua', 'saya', 'vaksin', 'di', 'peduli', 'lindungi', 'sekarang', 'status', 'nya', 'seperti', 'ini', 'terus', 'langkah', 'selanjutnya', 'harus', 'gimana', 'ya']","['kemarin', 'mendaftarkan', 'orang', 'tua', 'vaksin', 'peduli', 'lindungi', 'status', 'nya', 'langkah', 'gimana', 'ya']","['kemarin', 'daftar', 'orang', 'tua', 'vaksin', 'peduli', 'lindung', 'status', 'nya', 'langkah', 'gimana', 'ya']","['kemarin', 'daftar', 'orang', 'tua', 'vaksin', 'peduli', 'lindung', 'status', 'nya', 'langkah', 'gimana', 'ya']",neutral
9/22/2021 5:43,aplikasi peduli lindungi soalnya ada kata melindungi kamu,"['aplikasi', 'peduli', 'lindungi', 'soalnya', 'ada', 'kata', 'melindungi', 'kamu']","['aplikasi', 'peduli', 'lindungi', 'melindungi']","['aplikasi', 'peduli', 'lindung', 'lindung']","['aplikasi', 'peduli', 'lindung', 'lindung']",positive
9/17/2021 2:27,data nomor induk kependudukan tidak ditemukan di peduli lindungi hubungi satu data vaksinasi di pusat telepon hot line peduli lindungi,"['data', 'nomor', 'induk', 'kependudukan', 'tidak', 'ditemukan', 'di', 'peduli', 'lindungi', 'hubungi', 'satu', 'data', 'vaksinasi', 'di', 'pusat', 'telepon', 'hot', 'line', 'peduli', 'lindungi']","['data', 'nomor', 'induk', 'kependudukan', 'ditemukan', 'peduli', 'lindungi', 'hubungi', 'data', 'vaksinasi', 'pusat', 'telepon', 'hot', 'line', 'peduli', 'lindungi']","['data', 'nomor', 'induk', 'duduk', 'temu', 'peduli', 'lindung', 'hubung', 'data', 'vaksinasi', 'pusat', 'telepon', 'hot', 'line', 'peduli', 'lindung']","['data', 'nomor', 'induk', 'duduk', 'temu', 'peduli', 'lindung', 'hubung', 'data', 'vaksinasi', 'pusat', 'telepon', 'hot', 'line', 'peduli', 'lindung']",negative
9/16/2021 5:23,berantakannya aplikasi peduli lindungi,"['berantakannya', 'aplikasi', 'peduli', 'lindungi']","['berantakannya', 'aplikasi', 'peduli', 'lindungi']","['beranta', 'aplikasi', 'peduli', 'lindung']","['beranta', 'aplikasi', 'peduli', 'lindung']",negative
9/9/2021 7:23,ini saya kalau mau masuk pakai scan barcode aplikasi peduli lindungi pasti begini terus ada yang tahu kenapa,"['ini', 'saya', 'kalau', 'mau', 'masuk', 'pakai', 'scan', 'barcode', 'aplikasi', 'peduli', 'lindungi', 'pasti', 'begini', 'terus', 'ada', 'yang', 'tahu', 'kenapa']","['masuk', 'pakai', 'scan', 'barcode', 'aplikasi', 'peduli', 'lindungi']","['masuk', 'pakai', 'scan', 'barcode', 'aplikasi', 'peduli', 'lindung']","['masuk', 'pakai', 'scan', 'barcode', 'aplikasi', 'peduli', 'lindung']",neutral
9/4/2021 9:55,intinya sebenarnya mereka semua asn harus punya aplikasi peduli lindungi nanti kita mintakan ke kementrian kesehatan qr code nya,"['intinya', 'sebenarnya', 'mereka', 'semua', 'asn', 'harus', 'punya', 'aplikasi', 'peduli', 'lindungi', 'nanti', 'kita', 'mintakan', 'ke', 'kementrian', 'kesehatan', 'qr', 'code', 'nya']","['intinya', 'asn', 'aplikasi', 'peduli', 'lindungi', 'mintakan', 'kementrian', 'kesehatan', 'qr', 'code', 'nya']","['inti', 'asn', 'aplikasi', 'peduli', 'lindung', 'minta', 'tri', 'sehat', 'qr', 'code', 'nya']","['inti', 'asn', 'aplikasi', 'peduli', 'lindung', 'minta', 'tri', 'sehat', 'qr', 'code', 'nya']",positive
9/21/2021 11:37,kawan kalau ke mall masih harus pakai aplikasi peduli lindungi,"['kawan', 'kalau', 'ke', 'mall', 'masih', 'harus', 'pakai', 'aplikasi', 'peduli', 'lindungi']","['kawan', 'mall', 'pakai', 'aplikasi', 'peduli', 'lindungi']","['kawan', 'mall', 'pakai', 'aplikasi', 'peduli', 'lindung']","['kawan', 'mall', 'pakai', 'aplikasi', 'peduli', 'lindung']",neutral
9/21/2021 22:01,nanti masuk universitas padjajaran harus scan peduli lindungi tidak,"['nanti', 'masuk', 'universitas', 'padjajaran', 'harus', 'scan', 'peduli', 'lindungi', 'tidak']","['masuk', 'universitas', 'padjajaran', 'scan', 'peduli', 'lindungi']","['masuk', 'universitas', 'padjajaran', 'scan', 'peduli', 'lindung']","['masuk', 'universitas', 'padjajaran', 'scan', 'peduli', 'lindung']",neutral
